Dam Name,NID ID,Owner Names,Primary Owner Type,Primary Purpose,Purposes,Latitude,Longitude,State,County,City,River or Stream Name,Congressional District,Federal Agency Owners,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Primary Dam Type,NID Height (Ft),Dam Length (Ft),Year Completed,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Drainage Area (Sq Miles),Number of Locks,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Data Last Updated,Website URL
Roy Davis Dam,MO30056,ROY DAVIS,Private,Recreation,Recreation,37.49161486,-91.20198758,Missouri,Reynolds,Centerville,Smalls Creek-West Fk Black R,"Missouri, Congressional District 08",,,,,Earth,26,,1952,111,111,672,0,08/20/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Dogwood Lake Dam,MO10050,DOGWD LK LOT OWNERS ASSO,Private,Recreation,Recreation,38.77846254,-91.14206906,Missouri,Warren,Warrenton,Tr North Fork Charrette Creek,"Missouri, Congressional District 02",,,,,Earth,42,430,1970,138,138,0.16,,10/22/2020,3,High,Satisfactory,12/19/2007,Yes,06/29/2011,05/03/2023,https://damsafety.org/missouri
Pepmiller Lake Dam,MO30922,E O PEPMILLER,Private,Recreation,Recreation,38.9016251,-91.63193011,Missouri,Montgomery,Mineola,Tr-Massey Br-Loutre River,"Missouri, Congressional District 03",,,,,Earth,30,,1970,64,64,26,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Knights Creek 1,WI00355,Dunn County,Local Government,Debris Control,Debris Control;Flood Risk Reduction,44.83202,-92.09803,Wisconsin,Dunn,Weston,West Branch Knights Creek,"Wisconsin, Congressional District 03",,,Natural Resources Conservation Service,,Earth,40,760,1970,360,360,3,,04/28/2021,2,High,Satisfactory,08/23/2019,Yes,01/01/2011,09/16/2022,https://damsafety.org/wisconsin
Bonne Aqua Lake Dam,MO30157,THEODORE LOEFFELMAN,Private,Recreation,Recreation,37.97800744,-90.54820146,Missouri,St. Francois,Blackwell,Tr Big River,"Missouri, Congressional District 08",,,,,Earth,25,,1955,94,94,320,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Cleary Lake Dam,MS01280,CLEARY HEIGHTS HOA,Private,Recreation,Recreation,32.16666667,-90.17583333,Mississippi,Rankin, Florence (Upstream), Hawkins Branch,"Mississippi, Congressional District 03",,,,,Earth,14,430,1950,174,174,0.14,,09/16/2022,5,High,Fair,02/01/2022,Yes,09/01/2015,05/31/2023,https://damsafety.org/mississippi
Stonegate Lake Dam,IL50515,GEORGE WEBER,Private,Flood Risk Reduction,Flood Risk Reduction;Recreation,38.43653,-90.20922,Illinois,Monroe,Columbia,Trib Carr Creek,"Illinois, Congressional District 12",,,,,Earth,23,200,1960,10,10,0.01,0,10/09/2025,1,High,Not Available,,Yes,05/01/2005,01/20/2026,https://damsafety.org/illinois
Little Indian Lake No 1 Dam,AR01232,Indian Hills Community Club,Private,Recreation,Recreation,34.815,-92.2483333333333,Arkansas,Pulaski,North Little Rock,Five Mile Creek-Tr,"Arkansas, Congressional District 02",,,,,Earth,27,588,1962,72,72,0.42,,,,High,Not Rated,,Not Required,,01/29/2025,https://damsafety.org/arkansas
Oaknoll Dam,IA02848,Oaknoll West LLC,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",41.6366,-91.5758,Iowa,Johnson,Iowa City,Tr- Iowa River,"Iowa, Congressional District 01",,,,,Earth,25,545,1994,95,95,0.12,0,07/15/2024,2,High,Fair,07/18/2024,No,,03/06/2025,https://damsafety.org/iowa
Sulphur Springs Lake Dam,MS02880,MADISON COUNTY BOARD OF SUPERVISORS,Local Government,Recreation,Recreation,32.71166667,-89.81222222,Mississippi,Madison,Farmhaven,Doaks Creek,"Mississippi, Congressional District 02",,,,,Earth,14,600,2015,149.8,149.8,0.41,,10/11/2022,5,High,Fair,01/12/2022,Yes,12/01/2021,05/31/2023,https://damsafety.org/mississippi
Hannah Lake Dam,MO11263,"JOHN D HANNAH,JR",Private,Other,Other,40.14923965,-94.77716425,Missouri,Nodaway,Rochester,Tr-Long Branch Platte River,"Missouri, Congressional District 06",,,,,Earth,25,,,80,80,120,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Iatt Lake Dam,LA00018,State of Louisiana,State,Recreation,Recreation,31.5523195,-92.6584923,Louisiana,Grant,Colfax  ,Bayou Rigolette,"Louisiana, Congressional District 04",,,,,Earth,36,5310,1956,167000,167000,242,,08/30/2023,1,High,Satisfactory,08/30/2023,Yes,06/01/2020,06/25/2025,https://damsafety.org/louisiana
O'Hara Lake Dam,MO11179,REX O'HARA,Private,Other,Other,39.4189388,-92.39681878,Missouri,Randolph,Middle Grove,Tr-Coon Creek,"Missouri, Congressional District 06",,,,,Earth,25,,,201,201,153,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Whispering Valley Lake #1 Dam,MO30545,WHISPERING VALLEY H/O A,Private,Recreation,Recreation,38.51642896,-91.22449366,Missouri,Franklin,Washington,Tr To Bucklick Creek,"Missouri, Congressional District 02",,,,,Earth,41,640,1969,210,210,0.36,,09/14/2021,3,High,Satisfactory,12/21/2007,Yes,09/03/2013,05/03/2023,https://damsafety.org/missouri
Poinsett Wid Site 20,AR01282,Poinsett Watershed Improvement District,Local Government,Flood Risk Reduction,Flood Risk Reduction,35.7806078,-90.6893415,Arkansas,Craighead,Jonesboro,Viney Slough Ditch-Tr,"Arkansas, Congressional District 01",,,Natural Resources Conservation Service,,Earth,24,580,1979,99,99,0.2,,,,High,Not Rated,,Yes,,01/07/2026,https://damsafety.org/arkansas
Hidden Valley Lake Dam,MO10665,LAKE MARIE LOT OWN ASSOC,Private,Recreation,Recreation,40.481531,-93.5554022,Missouri,Mercer,Princeton,Pops Branch,"Missouri, Congressional District 06",,,,,Earth,26,,1972,195,195,1204,0,07/14/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Union Lake Dam,MO30225,SHEET METAL WORKERS NO2,Private,Recreation,Recreation,39.07029038,-94.47374594,Missouri,Jackson,Kansas City,Tr To Blue River,"Missouri, Congressional District 05",,,,,Earth,27,,1960,58,58,65,0,12/04/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Arrowhead Lakes Lower Dam,MO30267,VANCE HARPER,Private,Flood Risk Reduction,Flood Risk Reduction;Recreation,37.69838425,-91.50043103,Missouri,Dent,Cook Station,Tr Meramec River,"Missouri, Congressional District 08",,,,,Earth,27,,1973,159,159,360,0,08/20/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Mailande,MS03329,RICHARD VISE,Private,Recreation,Recreation,32.31983351,-88.70899376,Mississippi,Lauderdale,River Downstream,Unt of Graham Mill Creek,"Mississippi, Congressional District 03",,,,,Earth,55,1670,1994,6135,6135,1.36,,05/09/2023,5,High,Satisfactory,07/08/2022,Yes,06/17/2021,05/31/2023,https://damsafety.org/mississippi
Clarence Cannon #15,MO11309,LINCOLN CO SOIL&WATER D,Local Government,Flood Risk Reduction,Flood Risk Reduction,39.15433246,-90.91468914,Missouri,Lincoln,Elsberry,Bryants Creek,"Missouri, Congressional District 06",,,Natural Resources Conservation Service,,Earth,57,900,1977,2380,2380,5.36,,11/27/2022,3,High,Satisfactory,12/19/2007,Yes,01/19/2011,05/03/2023,https://damsafety.org/missouri
Bauman Dam -Noname 381,MO20240,ARTHUR BAUMAN,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",38.85384138,-94.50341073,Missouri,Jackson,Grandview,Tr-Oil Creek,"Missouri, Congressional District 05",,,,,Earth,23,,1962,135,135,178,0,08/29/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Indian Rock Lake Dam,MO31033,COMMERCE BNK OF ST LOUIS,Private,Recreation,Recreation,38.2067015,-90.791443,Missouri,Franklin,Morse Mill,Tributary To Tyrey Creek,"Missouri, Congressional District 02",,,,,Earth,0,,1978,300,300,310,0,05/12/1978,0,High,Not Rated,,Not Required,,04/02/2025,https://damsafety.org/missouri
King Lake Dam,MO10384,MO DEPT OF CONSERVATION,Local Government,Flood Risk Reduction,Flood Risk Reduction;Recreation,40.02009205,-94.43739223,Missouri,DeKalb,Weatherby,Lost Creek,"Missouri, Congressional District 06",,,Natural Resources Conservation Service,,Earth,40,1920,1971,4773,4773,19.06,,03/23/2021,3,High,Satisfactory,12/19/2007,Yes,01/03/2014,05/03/2023,https://damsafety.org/missouri
Lescher Lake Dam,MO11972,TERRY LESHER,Private,Debris Control,"Debris Control;Fire Protection, Stock, Or Small Fish Pond;Recreation",40.22682408,-95.38478019,Missouri,Holt,Bigelow,Tr-Old Channel Tarkio River,"Missouri, Congressional District 06",,,,,Earth,30,,,64,64,79,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Meyer Material Kd Pit,WI01244,Kenosha County,Local Government,Water Supply,Water Supply;Recreation,42.5566802,-88.238096,Wisconsin,Kenosha,Village of Bassett,Unnamed Trib To Palmer Creek,"Wisconsin, Congressional District 01",,,,,Earth,22,180,1995,535,535,2,0,07/06/2021,2,High,Fair,05/13/2020,Yes,01/01/2016,09/16/2022,https://damsafety.org/wisconsin
Lake Hogan Dam,MO31418,Y N MILLER,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",36.83495398,-90.70644474,Missouri,Carter,Naylor,Tr-North Prong Beaverdam Crk,"Missouri, Congressional District 08",,,,,Earth,24,,1964,167,167,365,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lower Canyon Lake Dam,MO31274,WILDWOOD LOT OWNERS ASOC,Private,Recreation,Recreation,38.81176456,-91.79149236,Missouri,Callaway,Fulton,Tr-Cow Creek,"Missouri, Congressional District 03",,,,,Earth,58,440,1973,1237,1237,2.8,,09/29/2022,3,High,Satisfactory,11/30/2010,Yes,12/15/2014,05/03/2023,https://damsafety.org/missouri
Lake Thunderbird Dam,IL00528,LAKE THUNDERBIRD ASSOCIATION,Private,Recreation,Recreation,41.20514,-89.43738,Illinois,Putnam,Putnam,Trib Senachwine Creek,"Illinois, Congressional District 16",,,,,Earth,86,910,1970,3844,3844,2.9,0,09/03/2025,1,High,Not Available,,Yes,10/15/2002,05/06/2026,https://damsafety.org/illinois
Eddy's Lake Dam,MO11093,H.Q. EDDY,Private,Recreation,Recreation,40.19263971,-93.13260966,Missouri,Sullivan,Milan,Tr-Locust Creek,"Missouri, Congressional District 06",,,,,Earth,30,,1964,128,128,37,0,01/21/1981,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Chesterfield Village #3 Dam,MO32066,,Private,,,38.65833,-90.57445,Missouri,St. Louis,Chesterfield,Bonholm Creek,"Missouri, Congressional District 02",,,,,Earth,52,425,,408,408,0.24,,11/18/2021,2,High,Satisfactory,12/21/2007,Yes,12/23/2010,05/03/2023,https://damsafety.org/missouri
Hodges Lake Dam,MS07365,ANDY HODGES,Private,Recreation,Recreation,34.31388889,-88.67194444,Mississippi,Lee,,Unt of Little Sand Creek,"Mississippi, Congressional District 01",,,,,Earth,19,1000,2021,116.8,,0.26,,06/24/2021,5,High,Fair,06/24/2021,No,,05/31/2023,https://damsafety.org/mississippi
Morris W L Dam,MO10651,WL MORRIS,Private,Recreation,Recreation;Water Supply,39.26603061,-91.40399936,Missouri,Pike,New Hartford,Tr-Shady Creek,"Missouri, Congressional District 06",,,,,Earth,25,,1963,40,40,90,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Little Lake In The Woods Dam,MO31366,JEAN COGGESHALL,Private,Recreation,Recreation,38.6091725,-90.87097511,Missouri,St. Charles,Schluersburg,Tr-Schluersburg Creek,"Missouri, Congressional District 02",,,,,Earth,34,,1965,146,146,140,0,03/02/1981,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Henry Lake Dam,MO11681,LELAND+GARY HENRY,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation;Water Supply",39.54131846,-93.56642493,Missouri,Carroll,Coloma,Tr-Tater Hill Creek,"Missouri, Congressional District 06",,,,,Earth,30,,1973,48,48,105,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Limpp Lake Dam,MO10101,MO DEPT OF CONSERVATION,State,Recreation,Recreation,40.06305556,-94.53888889,Missouri,Gentry,Union Star,Tr-Third Fork Platte River,"Missouri, Congressional District 06",,,,,Earth,25,,1960,374,374,600,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Turtle-Flambeau Detached Dike 1,WI00041,Chippewa and Flambeau Improvement Company,Public Utility,Hydroelectric,Hydroelectric,46.0667,-90.2333,Wisconsin,Iron,,,"Wisconsin, Congressional District 07",,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,Earth,12,,1926,239000,239000,,,08/11/2026,1,High,Satisfactory,08/25/2026,Yes,12/30/2024,08/26/2026,https://www.ferc.gov/dam-safety-and-inspections
Bacon Creek Watershed Site A-3,IA01797,City of Sioux City,Local Government,Flood Risk Reduction,Flood Risk Reduction,42.4912,-96.3319,Iowa,Woodbury,Sioux City,Bacon Creek,"Iowa, Congressional District 04",,,Natural Resources Conservation Service,,Earth,69,595,1978,481,481,0.97,0,10/11/2024,2,High,Satisfactory,11/13/2024,Yes,08/03/2023,03/06/2025,https://damsafety.org/iowa
Winegar Lake Dam,MO31692,ALVON&BETTY WINEGAR,Private,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Recreation",38.47722222,-92.39722222,Missouri,Cole,Jefferson City,Tr-South Moreau Cr,"Missouri, Congressional District 03",,,,,Earth,28,,1978,150,150,160,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
"Haas, R. & Heck, A. Dam",MO30526,ROBT HAAS & AUGUST HECK,Private,Recreation,Recreation,37.7741983,-91.13214308,Missouri,Crawford,Davisville,Tributary To Shoal Creek,"Missouri, Congressional District 03",,,,,Earth,16,,1965,43,43,721,0,06/26/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Cypress Creek Y-19a-15,MS03829,JIM WEBB,Private,Flood Risk Reduction,Flood Risk Reduction,34.01349558,-89.73208192,Mississippi,Yalobusha,,UNT of UNT of CYPRESS CREEK,"Mississippi, Congressional District 02",,,,,Earth,10,700,,11.5,11.5,0.28,,04/01/2021,,High,Unsatisfactory,04/01/2021,No,,05/31/2023,https://damsafety.org/mississippi
Rohlfing Dam - Mononame 408,MO30580,DONALD J ROHLFING,Private,Recreation,Recreation,38.45003724,-91.75536321,Missouri,Osage,Cooper Hill,Tr-Pointers Creek,"Missouri, Congressional District 03",,,,,Earth,23,,1962,74,74,94,0,09/12/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Bequette Dam - Noname 262,MO30461,LAMBERT C BEQUETTE,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",38.34674908,-90.59696532,Missouri,Jefferson,Cedar Hill,Tr-Isum Creek,"Missouri, Congressional District 03",,,,,Earth,31,,1967,50,50,25,0,10/03/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Menomonie,WI00735,Northern States Power Co,Public Utility,Hydroelectric,Hydroelectric;Recreation,44.884,-91.9295,Wisconsin,Dunn,Menomonie                                         ,Red Cedar                     ,"Wisconsin, Congressional District 03",,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,Gravity,37,642,1957,15000,15000,1795,,06/17/2026,1,High,Satisfactory,08/25/2026,Yes,12/23/2025,08/26/2026,https://www.ferc.gov/dam-safety-and-inspections
Deer Hollow Lake Dam,MO11379,HOPE ED. & RESEARCH CTR.,Private,Recreation,Recreation,38.76848774,-91.29808683,Missouri,Warren,Jonesburg,Unnamed Trib To Wilson'S Crk.,"Missouri, Congressional District 02",,,,,Earth,78,500,1972,167,167,0.04,,01/11/2022,2,High,Satisfactory,12/19/2007,Yes,01/01/2013,05/03/2023,https://damsafety.org/missouri
Lake Tanglewood Dam,IL00460,"LAKE WILDWOOD ASSOCIATION, INC.",Private,Recreation,Recreation,41.07995,-89.26482,Illinois,Marshall,Henry,Trib Sandy Creek,"Illinois, Congressional District 16",,,,,Earth,40,375,1969,161,161,,0,05/04/2026,1,High,Not Available,,Yes,04/30/2008,05/06/2026,https://damsafety.org/illinois
Hill and Dale Dam West,MO31715,CHARLES BROWN,Private,Recreation,Recreation,37.05740057,-90.99775199,Missouri,Carter,Van Buren,Tr-Pine Valley Creek,"Missouri, Congressional District 08",,,,,Earth,25,,1950,80,80,705,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Bahala Creek WS Str 2 Dam,MS02759,GEORGE HIGDON,Local Government,Flood Risk Reduction,Flood Risk Reduction,31.65448375,-90.37403816,Mississippi,Lincoln, N/A,,"Mississippi, Congressional District 03",,,Natural Resources Conservation Service,,Earth,31,,1976,1250,1250,2.55,,01/19/2023,5,High,Poor,08/11/2021,Yes,07/22/2013,05/31/2023,https://damsafety.org/mississippi
Marschke Lake Dam,MO31923,MR. CARL MARSCHKE,Private,Recreation,Recreation,38.15320757,-92.78096001,Missouri,Camden,Linn Creek,Mcfarland Hollow Creek,"Missouri, Congressional District 04",,,,,Earth,18,,1990,10,10,100,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Adrian Resevoir Dam,MO20005,CITY OF ADRIAN,Local Government,Recreation,Recreation;Water Supply,38.39174469,-94.33690118,Missouri,Bates,Urich,Tr-Big Deer Creek,"Missouri, Congressional District 04",,,,,Other,27,,1963,549,549,550,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lac Veron Dam,MO31834,TERRE DU LAC POA,Private,Recreation,Recreation,37.90445543,-90.63925879,Missouri,St. Francois,Leadwood,Tributary Big River,"Missouri, Congressional District 08",,,,,Earth,39,400,1977,135,135,0.06,,12/10/2020,3,High,Satisfactory,03/19/2009,Yes,01/22/2014,05/03/2023,https://damsafety.org/missouri
Hahn Lake Dam/(Dry),MO31122,ROBERT HAHN,Private,Other,Other,38.06632059,-90.74274416,Missouri,Washington,Morse Mill,Tr-Salt Mines Creek,"Missouri, Congressional District 03",,,,,Earth,30,,,241,241,1100,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Cornerstone Lake A Dam,MS03673,CORNERSTONE HOMEOWNERS ASSOCIATION,Private,Recreation,Recreation,32.30181646,-89.98138889,Mississippi,Rankin, Brandon,Terrapin Skin Creek,"Mississippi, Congressional District 03",,,,,Earth,18,950,2006,122,122,0.44,,09/15/2022,5,High,Satisfactory,08/25/2022,Yes,09/25/2015,05/31/2023,https://damsafety.org/mississippi
Breckenridge Lake Dam,LA00391,"C-B Pond, Inc",Private,Recreation,Recreation,32.3651402,-93.8643684,Louisiana,Caddo,Keithville        ,Boggy Bayou,"Louisiana, Congressional District 04",,,,,Earth,21,480,,200,200,1,,10/13/2022,1,High,Fair,10/13/2022,Yes,09/27/2013,06/25/2025,https://damsafety.org/louisiana
Port Hudson Lake Dam,MO31981,MO DEPT OF CONSERVATION,State,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,38.47373842,-91.26824485,Missouri,Franklin,Gerald,Cedar Fork,"Missouri, Congressional District 02",,,,,Earth,48,1080,1992,663,663,1.63,,11/19/2020,2,High,Satisfactory,12/21/2007,Yes,02/14/2013,05/03/2023,https://damsafety.org/missouri
Lake Valley Farm Dam,MO40172,,Private,,,38.68588,-91.12596,Missouri,Warren,Hopewell,Unnamed Trib of Dry Fork,"Missouri, Congressional District 02",,,,,Earth,40,970,,314,314,0.96,,08/19/2022,3,High,Satisfactory,09/07/2010,Yes,10/09/2013,05/03/2023,https://damsafety.org/missouri
Big Creek Wid Site 08,AR00455,Big Creek Watershed Improvement District,Local Government,Recreation,Recreation;Flood Risk Reduction,35.9021826,-90.7430265,Arkansas,Craighead,Jonesboro,Big Creek-Tr,"Arkansas, Congressional District 01",,,Natural Resources Conservation Service,,Earth,24,800,1969,304,304,0.6,,,,High,Not Rated,,Not Required,,01/07/2026,https://damsafety.org/arkansas
Kranz Lake Dam,MO20488,WAYNE KRANZ,Private,Recreation,Recreation,38.71129956,-93.58018631,Missouri,Johnson,Sweet Springs,Graham Br Clear Fk Blackwtr R,"Missouri, Congressional District 04",,,,,Earth,33,,1972,247,247,39,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Twin Lakes Dams,TN00706,James Barker,Private,Other,Other,35.628611,-85.1325,Tennessee,Bledsoe,Pikeville,Trib-Sequatchie River,"Tennessee, Congressional District 04",,,,,Earth,59,664,1969,158,158,0.16,,07/22/2026,1,High,Poor,07/22/2026,Not Required,,08/05/2026,https://damsafety.org/tennessee
Queen Mary Dam,MO31015,THE DOE RUN COMPANY,Private,Other,Other;Tailings,37.72397079,-91.11147529,Missouri,Iron,Courtois,Tr West Prong of Indian Creek,"Missouri, Congressional District 08",,,,,Earth,66,850,1959,8407,8407,0.8,,07/17/2019,3,High,Satisfactory,12/21/2007,Yes,05/01/2018,05/03/2023,https://damsafety.org/missouri
Las Brisas Dam,MO30541,LAS BRISAS LAKE TRUSTEES,Private,Recreation,Recreation,38.50535449,-90.7776247,Missouri,Franklin,Eureka,Tributar of Little Fox Creek,"Missouri, Congressional District 02",,,,,Earth,46,470,1970,173,173,0.12,,02/15/2023,2,High,Satisfactory,02/10/2012,Yes,05/01/2012,05/03/2023,https://damsafety.org/missouri
Springdale Lake,MO20238,SPRINGDALE MANAGEMNT INC,Private,Recreation,Recreation;Water Supply,38.82132047,-94.51040848,Missouri,Cass,Belton,Oil Creek(Tr-Little Blue Rvr),"Missouri, Congressional District 04",,,,,Earth,17,,1954,91,91,550,0,05/06/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Diepholz Pond Dam,IL50080,MORRY DIEPHOLZ,Private,Recreation,Recreation,39.23921,-88.16485,Illinois,Cumberland,Greenup,Trib Embarass River,"Illinois, Congressional District 12",,,,,Earth,20,,1960,65,65,,0,06/10/2026,1,High,Not Available,,No,,06/13/2026,https://damsafety.org/illinois
Lake Tiak O Khata,MS00189,CARMEN WHITE,Private,Recreation,Recreation,33.09578935,-89.07291442,Mississippi,Winston,Louisville,Unt of Hughes Creek,"Mississippi, Congressional District 03",,,,,Earth,33,900,1954,650,650,0.5,,12/29/2022,5,High,Fair,12/06/2022,Yes,01/13/2015,05/31/2023,https://damsafety.org/mississippi
Turtle-Flambeau Detached Dike 3,WI00041,Chippewa and Flambeau Improvement Company,Public Utility,Hydroelectric,Hydroelectric,46.0667,-90.2222,Wisconsin,Iron,,,"Wisconsin, Congressional District 07",,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,Earth,17,,1926,239000,239000,,,08/11/2026,1,High,Satisfactory,08/25/2026,Yes,12/30/2024,08/26/2026,https://www.ferc.gov/dam-safety-and-inspections
Hoeppner South Lake Dam,MO20687,ALBERT HOEPPNER,Private,Irrigation,"Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation",39.0822003,-93.8564732,Missouri,Lafayette,Waverly,Tr To Brush Creek,"Missouri, Congressional District 04",,,,,Earth,30,,,48,48,250,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Potashnik Dam,MO30565,SE MO COUNCIL BOY SCOUTS,Private,Recreation,Recreation,37.22920694,-90.47755298,Missouri,Wayne,Greenville,Tr-St Francis River,"Missouri, Congressional District 08",,,,,Earth,26,,1963,97,97,190,0,10/07/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Spirit,WI00749,Wisconsin Valley Improvement Company,Public Utility,Hydroelectric,Hydroelectric;Flood Risk Reduction,45.4378,-89.7423,Wisconsin,Lincoln,Merrill                                           ,Spirit River                  ,"Wisconsin, Congressional District 07",,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,Gravity,26,2530,1922,15427,15427,158,,07/30/2026,1,High,Satisfactory,08/25/2026,Yes,12/22/2025,08/26/2026,https://www.ferc.gov/dam-safety-and-inspections
Scofield Lake #3 Dam,MO10875,JOHN SCOFIELD,Private,Recreation,Recreation;Water Supply,38.8363256,-91.28666152,Missouri,Warren,Berger,Tr-Massie Cr,"Missouri, Congressional District 02",,,,,Earth,30,,1953,96,96,64,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lakeview Tree Farm Dam,MO30353,E NYTKO,Private,Flood Risk Reduction,Flood Risk Reduction;Recreation,36.88546627,-90.71948399,Missouri,Carter,Harviell,Tr Tenmile Creek,"Missouri, Congressional District 08",,,,,Earth,20,,1950,86,86,240,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Ross Barnett Reservoir Dam,MS02716,PEARL RIV. VAL. WTR. SUP. DIST,State,Water Supply,Water Supply,32.39725582,-90.0648781,Mississippi,Rankin,Jackson,Pearl River,"Mississippi, Congressional District 03",,,,,Earth,65,18400,1962,540000,540000,3050,,10/26/2022,1,High,Fair,10/06/2020,Yes,07/24/2018,05/31/2023,https://damsafety.org/mississippi
Little Dixie Lake Dam,MO10888,MO DEPT OF CONSERVATION,State,Recreation,Recreation;Flood Risk Reduction,38.90549107,-92.12267821,Missouri,Callaway,Millersburg,Owl Creek,"Missouri, Congressional District 03",,,,,Earth,42,1850,1958,4849,4849,3.61,,02/08/2022,2,High,Satisfactory,12/18/2007,Yes,04/30/2012,05/03/2023,https://damsafety.org/missouri
Fredericktown City Dam,MO30489,CITY OF FREDERICKTOWN,Private,Recreation,Recreation;Water Supply,37.5772534,-90.30927938,Missouri,Madison,Fredericktown,Little St Francis River,"Missouri, Congressional District 08",,,,,Arch,24,,1954,2029,2029,38400,0,05/02/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
South Wood County Park,WI00060,Wood County,Local Government,Recreation,Recreation,44.3653,-89.7567,Wisconsin,Wood,Port Edwards,Fourmile & Buena Vista Creeks,"Wisconsin, Congressional District 03",,,,,Gravity,26,300,1939,1930,1930,134,,10/29/2021,2,High,Fair,04/28/2022,Yes,01/01/2002,09/16/2022,https://damsafety.org/wisconsin
Pioneer #1 Dam,TN04503,"Pioneer West Lake #1 Association, Inc.",Private,,,36.054444,-89.406111,Tennessee,Dyer,,Forked Deer River,"Tennessee, Congressional District 08",,,,,Earth,25,695,1961,71,71,0.02,,11/06/2025,1,High,Satisfactory,11/06/2025,Yes,09/04/2024,01/28/2026,https://damsafety.org/tennessee
Jestes Lake Dam,MO11247,KEITH JESTES,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",40.01106881,-94.32119832,Missouri,DeKalb,Santa Rosa,Tr-North Fork Lost Creek,"Missouri, Congressional District 06",,,,,Earth,25,,1976,107,107,220,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Flat Rock Creek Site 1,AR01442,City of Van Buren,Local Government,Flood Risk Reduction,Flood Risk Reduction;Recreation,35.4490992,-94.3393547,Arkansas,Crawford,Van Buren,Town Branch,"Arkansas, Congressional District 03",,,Natural Resources Conservation Service,,Rockfill,57,647,1982,509,509,0.4,,09/29/2015,1,High,Satisfactory,09/29/2015,Yes,12/17/2014,01/07/2026,https://damsafety.org/arkansas
